Year,ACC,Big_Ten,Big_12,Pac_12,SEC,Other,Height_IN,Weight_LBS,Wonderlic,40_Yard,Bench_Press,Vert_Leap_IN,Broad_Jump_IN,Shuttle,3Cone,Started
2008,0,0,0,0,0,1,77,225,24,4.66,NA,31,113,4.38,7.01,Yes
2008,0,0,0,1,0,1,74.13,227,NA,NA,NA,NA,NA,NA,NA,No
2008,1,0,0,0,0,1,76.75,228,32,4.94,NA,NA,NA,4.51,7.4,Yes
2008,0,0,0,0,0,0,73.25,208,NA,4.97,NA,26.5,111,4.29,7.02,No
2008,0,0,0,0,0,1,73.13,221,NA,4.85,NA,32,108,4.33,7.14,No
2008,1,0,0,0,0,0,75.4,218,NA,4.9,NA,25.5,105,4.32,7.34,No
2007,0,0,0,0,0,0,74.13,215,30,4.78,NA,29.5,111,4.17,6.81,Yes
2007,0,0,0,1,0,0,76.13,231,31,4.78,19,NA,NA,4.46,7.14,Yes
2007,0,0,0,0,0,1,74.5,222,20,4.99,NA,32.5,106,4.46,6.95,No
2007,0,0,0,0,0,0,76.25,232,28,5.04,NA,29.5,108,4.28,6.99,No
2007,0,0,1,0,1,0,75.13,218,NA,4.89,NA,32.5,112,4.44,6.94,Yes
2007,0,0,0,0,0,1,75.5,234,12,5.37,NA,25,91,4.64,7.77,No
2007,0,0,0,0,0,0,71.88,209,NA,4.77,NA,32.5,113,4.41,7.03,No
2007,1,0,0,0,0,1,73.38,215,18,4.88,NA,31.5,112,4.36,7.05,No
2007,0,0,0,0,0,1,77.63,231,23,4.99,NA,30.5,104,4.58,7.32,Yes
2007,0,0,0,0,1,0,74.5,208,NA,4.81,NA,34,112,4.49,7.35,No
2007,0,0,0,0,0,0,77.25,226,21,4.91,NA,29.5,114,4.42,6.72,Yes
2007,0,0,0,0,0,1,77.5,265,24,4.83,NA,NA,NA,NA,NA,Yes
2007,0,0,0,1,1,0,74.38,216,NA,NA,22,NA,NA,NA,NA,Yes
2007,0,1,0,0,1,0,75.25,226,35,4.77,NA,30.5,108,4.41,6.77,Yes
2007,0,1,0,0,0,1,73.63,207,NA,5.1,NA,27,104,4.6,7.29,No
2007,0,0,0,0,0,1,76.5,237,NA,5.14,NA,28.5,107,4.76,7.25,No
2007,0,1,0,0,0,0,74.38,216,NA,5.08,NA,30.5,110,4.6,7.39,No
2007,0,0,0,0,0,0,74.13,219,36,4.59,NA,35.5,111,4.08,6.78,No
2006,0,1,0,0,0,0,73.25,220,NA,4.79,NA,34,114,4.22,6.75,No
2006,0,0,0,1,0,1,73.63,224,35,4.89,NA,NA,NA,NA,NA,Yes
2006,0,0,0,0,0,1,74.5,205,24,4.94,NA,30.5,104,4.25,7.34,Yes
2006,0,0,0,0,0,0,75.25,226,26,4.81,23,NA,NA,4.26,7.1,Yes
2006,0,0,0,0,0,1,72.25,260,NA,5.13,NA,27.5,94,4.76,7.97,No
